,ID,Model,Param,Value
0,1,Logistic,N0,0.00521739130434795
1,1,Logistic,Nmax,0.285151038938362
2,1,Logistic,rmax,4.452265327111408
3,1,Gompertz,A,4.001021474223131
4,1,Gompertz,rmax,15.284519901006474
5,1,Gompertz,tlag,0.05
6,1,Baranyi,N0,0.00521739130434795
7,1,Baranyi,Nmax,0.285151038938362
8,1,Baranyi,rmax,15.28451990100647
9,1,Baranyi,h0,0.005799800428933062
10,2,Logistic,N0,0.0295652173913047
11,2,Logistic,Nmax,0.5819172341540071
12,2,Logistic,rmax,11.345418160603097
13,2,Gompertz,A,2.9797296460203375
14,2,Gompertz,rmax,16.733675455032337
15,2,Gompertz,tlag,0.05
16,2,Baranyi,N0,0.0295652173913047
17,2,Baranyi,Nmax,0.5819172341540071
18,2,Baranyi,rmax,16.733675455032333
19,2,Baranyi,h0,0.049131464265375284
20,3,Logistic,N0,0.0052173913043478395
21,3,Logistic,Nmax,0.5194447354635939
22,3,Logistic,rmax,80.9442721480119
23,3,Gompertz,A,4.600762897784281
24,3,Gompertz,rmax,31.848915286791826
25,3,Gompertz,tlag,0.013583196853956179
26,3,Baranyi,N0,0.0052173913043478395
27,3,Baranyi,Nmax,0.5194447354635939
28,3,Baranyi,rmax,31.848915286791826
29,3,Baranyi,h0,0.003396611431667053
30,4,Logistic,N0,0.00521739130434795
31,4,Logistic,Nmax,0.564452592980618
32,4,Logistic,rmax,24.291295546270224
33,4,Gompertz,A,4.683858872662169
34,4,Gompertz,rmax,20.891117530838894
35,4,Gompertz,tlag,2.6720414689282562e-05
36,4,Baranyi,N0,0.00521739130434795
37,4,Baranyi,Nmax,0.564452592980618
38,4,Baranyi,rmax,20.891117530838894
39,4,Baranyi,h0,0.005241812995735677
40,6,Logistic,N0,0.0140762463343111
41,6,Logistic,Nmax,0.40469208211143703
42,6,Logistic,rmax,1.3866745008627812
43,6,Gompertz,A,3.358637767243342
44,6,Gompertz,rmax,12.175608346776079
45,6,Gompertz,tlag,0.05
46,6,Baranyi,N0,0.0140762463343111
47,6,Baranyi,Nmax,0.40469208211143703
48,6,Baranyi,rmax,12.175608346776077
49,6,Baranyi,h0,0.01579719348890657
50,7,Logistic,N0,0.00527859237536665
51,7,Logistic,Nmax,0.283284457478006
52,7,Logistic,rmax,3.449050930162911
53,7,Gompertz,A,3.9827920763163385
54,7,Gompertz,rmax,18.50100222470361
55,7,Gompertz,tlag,0.05
56,7,Baranyi,N0,0.00527859237536665
57,7,Baranyi,Nmax,0.283284457478006
58,7,Baranyi,rmax,18.501002224703605
59,7,Baranyi,h0,0.005970542214001015
60,8,Logistic,N0,0.0035190615835777295
61,8,Logistic,Nmax,0.17067448680351902
62,8,Logistic,rmax,1.7990910951040304
63,8,Gompertz,A,3.8815637979434325
64,8,Gompertz,rmax,18.91011197109786
65,8,Gompertz,tlag,0.03174159300524533
66,8,Baranyi,N0,0.0035190615835777295
67,8,Baranyi,Nmax,0.17067448680351902
68,8,Baranyi,rmax,18.910111971097866
69,8,Baranyi,h0,0.001934579501994492
70,9,Logistic,N0,0.0175953079178884
71,9,Logistic,Nmax,0.130205278592375
72,9,Logistic,rmax,4.899194736993268
73,9,Gompertz,A,2.0014800002101305
74,9,Gompertz,rmax,7.321111672569327
75,9,Gompertz,tlag,0.0038048736107117904
76,9,Baranyi,N0,0.0175953079178884
77,9,Baranyi,Nmax,0.130205278592375
78,9,Baranyi,rmax,7.321111672569327
79,9,Baranyi,h0,0.01740985466237891
80,10,Logistic,N0,0.00879765395894438
81,10,Logistic,Nmax,0.11085043988269802
82,10,Logistic,rmax,9.447171198863021
83,10,Gompertz,A,2.533696813957422
84,10,Gompertz,rmax,11.156745083498649
85,10,Gompertz,tlag,0.05
86,10,Baranyi,N0,0.00879765395894438
87,10,Baranyi,Nmax,0.11085043988269802
88,10,Baranyi,rmax,11.156745083498642
89,10,Baranyi,h0,0.009045788104263387
90,11,Logistic,N0,0.00521739130434762
91,11,Logistic,Nmax,0.22260869565217398
92,11,Logistic,rmax,3.4838075296171334
93,11,Gompertz,A,3.7534179752515473
94,11,Gompertz,rmax,16.257208628772666
95,11,Gompertz,tlag,0.05
96,11,Baranyi,N0,0.00521739130434762
97,11,Baranyi,Nmax,0.22260869565217398
98,11,Baranyi,rmax,16.257208628772666
99,11,Baranyi,h0,0.006323394832476488
100,12,Logistic,N0,0.00695652173913031
101,12,Logistic,Nmax,0.264347826086957
102,12,Logistic,rmax,1.1632224208814874
103,12,Gompertz,A,3.6375861597264056
